EB1075,Call of Duty,General CoD category; multiplayer; BR; and Zombies across titles.
II1076,Crypto,Crypto markets talk; education; and web3 project coverage.
KF1077,Guild Wars 2,MMORPG; WvW; fractals; raids; and fashion.
AF1078,Metal Gear Solid V: The Phantom Pain,Sandbox stealth-action; missions and mods.
AN1079,Red Dead Redemption 2,Open-world Western; story; online; and RP.
QA1080,Magic: The Gathering,TCG; Arena/paper play; deck tech; and events.
IR1081,Battlefield 2042,Large-scale FPS; conquest; portal modes; and specialists.
AN1082,GeoGuessr,Geography guessing; streaks; duels; and tournaments.
VS1083,Abiotic Factor,Co-op survival; crafting; exploration; and base defense.
BC1084,Blue Protocol: Star Resonance,Online action RPG with an anime vibe; quests and co-op.
OZ1085,Haunted Room: 205,Horror/escape; investigation; puzzles; and scares.
PC1086,Warframe,Looter-shooter; frame builds; relic farming; and endgame grinds.
TP1087,Chess,Chess games; puzzles; speed chess; and commentary.
TM1088,Eternal Return,MOBA/BR hybrid; characters; routes; and ranked.
CW1089,Marbles on Stream,Chat-controlled marble races and events.
VO1090,World of Warships,Naval combat; grinds; clans; and ranked.
AG1091,Sea of Thieves,Co-op pirate adventures; voyages and PvP.
MK1092,Mobile Legends: Bang Bang,Mobile MOBA; ranked grind and events.
KK1093,Shine Post: Be Your Idol!,Rhythm/idol content; music performance and progression.
SJ1094,Pools Hot Tubs and Beaches,Aquatic IRL; pool streams; hot tubs; and beach hangouts.
KS1095,Metin2,Classic MMORPG; grinding; dungeons; and PvP.
VB1096,Age of Empires II,RTS; build orders; ranked matches; and tournaments.
VD1097,Supermarket Simulator,Management sim; build and run your own grocery store.
NA1098,Guilty Gear: Strive,1v1 fighter; training mode tech; sets; and tournaments.
NN1099,Software and Game Development,Live coding; game engines; tools; and devlogs.
